,TMP,OXYGEN,SAL,TCARBN,ALKALI,PHSPHT,SILCAT,PRS,PH
4197,7.8,318.0,32.547001,2003.6,2214.4,0.92,14.36,10.8,8.1820002
4199,5.7,294.8,32.901001,2055.1,2235.7,1.32,20.03,99.2,8.1350002
4201,5.22,180.0,33.786999,2190.2,2265.2,2.13,50.28,198.0,7.8280001
4202,4.41,124.0,33.844002,2242.8,2307.4,2.56,68.43,298.4,7.7989998
4203,4.11,72.9,33.958,2287.3,2330.2,2.86,86.68,401.1,7.724
4208,2.99,22.1,34.333,2369.2,2378.8,3.19,138.27,1001.2,7.5970001
4211,2.3,26.7,34.490002,2391.1,2405.8,3.18,161.38,1599.3,7.5970001
5063,5.65,312.3,32.6931,2023.3,2263.9,1.25,18.95,73.9,8.2670002
5064,5.65,310.8,32.6917,2026.8,2270.5,1.27,18.95,103.8,8.2709999
5065,5.18,217.8,33.598801,2141.4,2331.7,1.9,40.23,149.3,8.1409998
5068,3.98,70.6,34.0061,2282.4,2381.7,2.88,89.9,404.3,7.901
5069,3.63,35.4,34.183701,2322.6,2408.2,3.05,110.97,605.2,7.8530002
5070,3.22,21.9,34.294102,2347.3,2433.8,3.13,127.55,798.6,7.8509998
5072,2.57,20.3,34.453999,2374.2,2454.3,3.16,150.95,1252.8,7.8189998
5073,2.32,25.1,34.5084,2380.6,2476.0,3.13,159.14,1505.1,7.8559999
5074,2.08,42.6,34.558899,2377.1,2483.9,3.06,164.11,1753.1,7.882
5076,1.78,73.2,34.620098,2363.4,2499.0,2.92,167.71,2253.4,7.9429998
5078,1.55,112.9,34.6707,2343.8,2499.2,2.74,165.95,3002.4,7.9660001
5079,1.48,129.1,34.687099,2332.5,2502.1,2.65,164.29,3504.4,7.9809999
5081,1.49,142.5,34.7015,2327.4,2505.6,2.6,166.43,4307.1,7.9689999
5107,5.63,312.7,32.664799,2025.9,2272.2,1.23,18.95,26.8,8.2790003
5108,5.64,313.2,32.665001,2025.7,2285.8,1.24,19.15,45.8,8.3030005
5109,5.6,312.9,32.696701,2024.0,2278.3,1.24,19.15,69.5,8.2930002
5110,5.61,310.5,32.726398,2027.2,2274.6,1.23,18.95,97.8,8.2779999
5111,5.1,215.2,33.644901,2151.5,2326.7,1.91,41.5,146.3,8.1079998
5121,7.68,295.8,32.509998,2001.3,2260.0,0.82,8.89,10.3,8.276
5159,10.82,302.9,30.455999,1875.8,2183.1,0.22,2.25,1.4,8.3579998
5160,9.97,263.8,31.7516,1973.3,2231.1,0.75,10.56,25.5,8.2510004
