,Unnamed: 0,Longitude,Latitude,TMP,OXYGEN,SAL,TCARBN,ALKALI,PHSPHT,SILCAT,PRS,PH
0,4197,215.00999,50.01,7.8,318.0,32.547001,2003.6,2214.4,0.92,14.36,10.8,8.1820002
1,4199,215.00999,50.01,5.7,294.8,32.901001,2055.1,2235.7,1.32,20.03,99.2,8.1350002
2,4201,215.00999,50.01,5.22,180.0,33.786999,2190.2,2265.2,2.13,50.28,198.0,7.8280001
3,4202,215.00999,50.01,4.41,124.0,33.844002,2242.8,2307.4,2.56,68.43,298.4,7.7989998
4,4203,215.00999,50.01,4.11,72.9,33.958,2287.3,2330.2,2.86,86.68,401.1,7.724
5,4208,215.00999,50.01,2.99,22.1,34.333,2369.2,2378.8,3.19,138.27,1001.2,7.5970001
6,4211,215.00999,50.01,2.3,26.7,34.490002,2391.1,2405.8,3.18,161.38,1599.3,7.5970001
7,5063,215.02,49.98,5.65,312.3,32.6931,2023.3,2263.9,1.25,18.95,73.9,8.2670002
8,5064,215.02,49.98,5.65,310.8,32.6917,2026.8,2270.5,1.27,18.95,103.8,8.2709999
9,5065,215.02,49.98,5.18,217.8,33.598801,2141.4,2331.7,1.9,40.23,149.3,8.1409998
