,Longitude,Latitude,DEPTH,TMP,OXYGEN,TCARBN,PHSPHT,SILCAT,PH
172487,238.79269,31.006,795,4.5522,13.3,2354.0,3.19,102.02,7.3200002
60283,149.32899,19.1655,992,4.1022,66.4,2323.2,2.89,107.51,7.4650002
52745,167.3,53.7,1773,1.9631,55.7,2383.5,3.0,170.0,7.3940001
84766,178.9993,-11.0035,991,4.4141,113.7,2271.5,2.65,70.2,7.54
57498,155.0,11.0,2366,1.9187,117.8,2346.3,2.74,143.2,7.737
276666,180.94321,-15.2195,11,29.4708,198.8,1922.7,0.12,1.27,8.1599998
57651,155.0,6.0,397,8.7219,55.3,2247.0,2.48,37.4,7.6950002
47694,211.8493,-32.5118,1975,2.2094,152.0,2298.9,2.52,108.05,7.5830002
26656,136.97836,24.99281,3679,1.5371,149.6,2321.0,2.56,139.0,7.6360002
25526,144.99701,32.0182,2943,1.5814,121.2,2342.0,2.7,150.0,7.5830002
65312,196.5213,25.5153,3923,1.4546,148.9,2330.6,2.56,151.0,7.5900002
69948,160.0,46.9,3188,1.4952,135.8,2337.9,2.61,151.7,7.5510001
268086,236.0,-16.75,3245,1.6597,161.3,2313.0,2.42,129.4,7.5999999
71260,140.7265,45.75475,75,8.5393,268.5,2070.7,0.43,5.28,7.8579998
202021,178.9973,14.006,307,11.2026,51.5,2216.5,2.17,28.47,7.7090001
200965,178.9982,28.9942,4192,1.4626,153.9,2324.6,2.45,151.5,7.5700002
35654,165.0,40.0,1249,2.8217,33.8,2373.3,3.05,143.2,7.3569999
265220,283.98621,-16.7337,4082,1.76,158.8,2313.0,2.48,124.65,7.5999999
272309,159.0555,-22.95,291,17.6322,181.5,2070.0,0.58,1.87,7.9400001
166886,207.347,30.0015,1469,2.6861,49.8,2373.8,3.05,148.07,7.6529999
